error,time
0.5950617283950617,1644086987.8883157
0.5950617283950617,1644086987.8933015
0.37643678160919536,1644086987.898288
0.37643678160919536,1644086987.9052696
0.37643678160919536,1644086987.911254
0.25077399380804954,1644086987.9162407
0.25077399380804954,1644086987.9222245
-0.17096774193548392,1644086987.9292061
-0.17096774193548392,1644086987.9351897
-0.17096774193548392,1644086987.9411733
-0.4854111405835544,1644086987.947157
-0.4854111405835544,1644086987.9521444
-0.14935064935064934,1644086987.9601228
-0.14935064935064934,1644086987.9671054
0.10033444816053516,1644086987.979072
0.10033444816053516,1644086987.9910402
0.10033444816053516,1644086987.9980226
0.47010869565217395,1644086988.0119839
0.6219512195121951,1644086988.0189662
0.6219512195121951,1644086988.0249486
0.6219512195121951,1644086988.0309339
0.642512077294686,1644086988.0379152
0.642512077294686,1644086988.0429025
0.642512077294686,1644086988.0478876
0.736842105263158,1644086988.0548694
0.736842105263158,1644086988.0608544
0.75,1644086988.0658405
0.75,1644086988.0738184
0.7627118644067796,1644086988.0808012
0.7627118644067796,1644086988.087781
0.7627118644067796,1644086988.0937662
0.743142144638404,1644086988.0997498
0.743142144638404,1644086988.106732
0.7518248175182481,1644086988.1137128
0.7518248175182481,1644086988.120693
0.7518248175182481,1644086988.1256804
0.8217213114754098,1644086988.1306663
0.8217213114754098,1644086988.1366518
0.8217213114754098,1644086988.1416368
-1.0,1644086988.1486192
-1.0,1644086988.154603
